Time,Channel A,Channel B
(s),(mV),(V)

3.19823397,-41.38920000,2.16040500
3.19854697,-41.38920000,2.16040500
3.19885997,-41.38920000,2.16040500
3.19917297,-41.38920000,2.16040500
3.19948597,-41.38920000,2.16040500
3.19979897,-41.38920000,2.16040500
3.20011197,-41.38920000,2.16040500
3.20042497,-41.38920000,2.16040500
3.20073797,-41.38920000,2.16040500
3.20105097,-41.38920000,2.16040500
3.20136397,-41.38920000,2.16040500
3.20167697,-41.38920000,2.16040500
3.20198997,-43.15928000,2.16040500
3.20230297,-41.38920000,2.16040500
3.20261597,-41.38920000,2.16040500
3.20292897,-39.61303000,2.16040500
3.20324197,-41.38920000,2.16040500
3.20355497,-41.38920000,2.16040500
3.20386797,-41.38920000,2.16040500
3.20418097,-41.38920000,2.16040500
3.20449397,-41.38920000,2.16040500
3.20480697,-41.38920000,2.16040500
3.20511997,-41.38920000,2.16040500
3.20543297,-41.38920000,2.16040500
3.20574597,-41.38920000,2.16040500
3.20605897,-41.38920000,2.16040500
3.20637197,-41.38920000,2.16040500
3.20668497,-41.38920000,2.16040500
3.20699797,-41.38920000,2.16040500
3.20731097,-41.38920000,2.16040500
3.20762397,-41.38920000,2.16040500
3.20793697,-43.15928000,2.16040500
3.20824997,-41.38920000,2.16040500
3.20856297,-43.15928000,2.16040500
3.20887597,-41.38920000,2.16040500
3.20918897,-41.38920000,2.16040500
3.20950197,-41.38920000,2.16040500
3.20981497,-41.38920000,2.16040500
3.21012797,-41.38920000,2.16040500
3.21044097,-43.15928000,2.16040500
3.21075397,-41.38920000,2.16040500
3.21106697,-41.38920000,2.16040500
3.21137997,-41.38920000,2.16040500
3.21169297,-43.15928000,2.16040500
3.21200597,-41.38920000,2.16040500
3.21231897,-41.38920000,2.16040500
3.21263197,-41.38920000,2.16040500
3.21294497,-39.61303000,2.16040500
3.21325797,-41.38920000,2.16040500
3.21357097,-43.15928000,2.16040500
3.21388397,-43.15928000,2.16040500
3.21419697,-43.15928000,2.16040500
3.21450997,-43.15928000,2.16040500
3.21482297,-41.38920000,2.16040500
3.21513597,-41.38920000,2.16040500
3.21544897,-43.15928000,2.16040500
3.21576197,-41.38920000,2.16040500
3.21607497,-43.15928000,2.16040500
3.21638797,-41.38920000,2.16040500
3.21670097,-41.38920000,2.16040500
3.21701397,-41.38920000,2.16040500
3.21732697,-41.38920000,2.16040500
3.21763997,-41.38920000,2.16040500
3.21795297,-41.38920000,2.16040500
3.21826597,-41.38920000,2.16040500
3.21857897,-41.38920000,2.16040500
3.21889197,-41.38920000,2.16040500
3.21920497,-41.38920000,2.16040500
3.21951797,-41.38920000,2.16040500
3.21983097,-43.15928000,2.16040500
3.22014397,-43.15928000,2.16040500
3.22045697,-43.15928000,2.16040500
3.22076997,-41.38920000,2.16040500
3.22108297,-48.47560000,2.16040500
3.22139597,-41.38920000,2.16040500
3.22170897,-41.38920000,2.16040500
3.22202197,-41.38920000,2.16040500
3.22233497,-41.38920000,2.16040500
3.22264797,-41.38920000,2.16040500
3.22296097,-41.38920000,2.16040500
3.22327397,-41.38920000,2.16040500
3.22358697,-41.38920000,2.16040500
3.22389997,-43.15928000,2.16040500
3.22421297,-41.38920000,2.16040500
3.22452597,-41.38920000,2.16040500
3.22483897,-41.38920000,2.16040500
3.22515197,-41.38920000,2.16040500
3.22546497,-41.38920000,2.16040500
3.22577797,-41.38920000,2.16040500
3.22609097,-41.38920000,2.16040500
3.22640397,-41.38920000,2.16040500
3.22671697,-41.38920000,2.16040500
3.22702997,-41.38920000,2.16040500
3.22734297,-41.38920000,2.16040500
3.22765597,-41.38920000,2.16040500
3.22796897,-41.38920000,2.16040500
3.22828197,-39.61303000,2.16040500
3.22859497,-43.15928000,2.16040500
3.22890797,-41.38920000,2.16040500
3.22922097,-41.38920000,2.16040500
3.22953397,-41.38920000,2.16040500
3.22984697,-41.38920000,2.16040500
3.23015997,-41.38920000,2.16040500
3.23047297,-41.38920000,2.16040500
3.23078597,-41.38920000,2.16040500
3.23109897,-41.38920000,2.16040500
3.23141197,-41.38920000,2.16040500
3.23172497,-41.38920000,2.16040500
3.23203797,-41.38920000,2.16040500
3.23235097,-39.61303000,2.16040500
3.23266397,-41.38920000,2.16040500
3.23297697,-41.38920000,2.16040500
3.23328997,-41.38920000,2.16040500
3.23360297,-41.38920000,2.16040500
3.23391597,-41.38920000,2.16040500
3.23422897,-43.15928000,2.16040500
3.23454197,-41.38920000,2.16040500
3.23485497,-41.38920000,2.16040500
3.23516797,-41.38920000,2.16040500
3.23548097,-41.38920000,2.16040500
3.23579397,-41.38920000,2.16040500
3.23610697,-41.38920000,2.16040500
3.23641997,-41.38920000,2.16040500
3.23673297,-41.38920000,2.16040500
3.23704597,-41.38920000,2.16040500
3.23735897,-41.38920000,2.16040500
3.23767197,-41.38920000,2.16040500
3.23798497,-41.38920000,2.16040500
3.23829797,-43.15928000,2.16040500
3.23861097,-41.38920000,2.16040500
3.23892397,-41.38920000,2.16040500
3.23923697,-41.38920000,2.16040500
3.23954997,-41.38920000,2.16040500
